location;Code;Year;Executions;Meningitis;Alzheimer;Parkinson;Nutritional_deficiencies;Malaria;Drowning;Interpersonal_violence;Maternal_disorders;HIV/AIDS;Drug_use_disorders;Tuberculosis;Cardiovascular_diseases;Lower_respiratory_infections;Neonatal_disorders;Alcohol_use_disorders;Self-harm;Exposure_to_forces_of_nature;Diarrheal;Environmental_heat_and_cold_exposure;Neoplasms;Conflict_and_terrorism;Diabetes_mellitus;Chronic_kidney;Poisonings;Protein-energy_malnutrition;Terrorism;Road_injuries;Chronic_respiratory;Cirrhosis_and_other_chronic liver;Digestive;Fire_heat_and_hot_substances;Acute_hepatitis;covid_death
Denmark;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1909.0
Estonia;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1703.0
Egypt;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2971.0
Eswatini;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;113.0
Eritrea;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.0
Djibouti;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;128.0
Dominican Republic;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2414.0
El Salvador;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;322.0
Denmark;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1304.0
Ecuador;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10861.0
El Salvador;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2497.0
Europe;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;986967.0
Czechia;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4192.0
Equatorial Guinea;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89.0
Cyprus;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120.0
Dominica;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.0
Ecuador;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2044.0
Eswatini;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1098.0
Equatorial Guinea;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86.0
Estonia;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;235.0
Ethiopia;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;601.0
Djibouti;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
Ethiopia;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5014.0
Eswatini;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;205.0
Equatorial Guinea;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0
Gibraltar;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93.0
Europe;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;319957.0
Grenada;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finland;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2977.0
Gibraltar;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0
Gabon;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;224.0
France;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65031.0
Guam;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33079.0
Faeroe Islands;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gambia;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.0
Germany;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78854.0
Falkland Islands;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ghana;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155.0
Guatemala;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4813.0
Greece;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9486.0
Falkland Islands;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
French Polynesia;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;114.0
Georgia;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2505.0
Grenada;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200.0
Gabon;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64.0
France;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25849.0
European Union;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;196786.0
Finland;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;592.0
Grenada;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.0
European Union;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;372654.0
Greece;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15952.0
Guam;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finland;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1122.0
French Polynesia;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;522.0
Fiji;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;698.0
Germany;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29380.0
